#,"Register Name","Register Address","Field Name","Field Bit Position","Default Value",Property,"No Test","Read Data",Result
FIELD,,,reg021_f1,[31:28],4'b0,,,,
FIELD,,,reg021_f2,27,1'b0,,,,
FIELD,,,reg021_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg022,0x000000b0,,,,,,,
FIELD,,,reg022_f1,[31:30],1'b1,RO,,,
FIELD,,,reg022_f2,[29:15],0,,,,
FIELD,,,reg022_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg023,0x000000b8,,,,,,,
FIELD,,,reg023_f1,[31:16],1'b1,,,,
FIELD,,,reg023_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg024,0x000000c0,,,,,,,
FIELD,,,reg024_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg025,0x000000c8,,,,,,,
FIELD,,,reg025_f1,31,0,,,,
FIELD,,,reg025_f2,[28:26],2,,,,
FIELD,,,reg025_f3,[25:19],83,,,,
FIELD,,,reg025_f4,[18:6],3072,,,,
FIELD,,,reg025_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg026,0x000000d0,,,,,,,
FIELD,,,reg026_f1,31,0,,,,
FIELD,,,reg026_f2,30,1,,,,
FIELD,,,reg026_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg027,0x000000d8,,,,,,,
FIELD,,,reg027_f1,[31:24],0,WO,,,
FIELD,,,reg027_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg028,0x000000e0,,,,,,,
FIELD,,,reg028_f1,[31:22],0,,,,
FIELD,,,reg028_f2,[21:12],0,,,,
FIELD,,,reg028_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg029,0x000000e8,,,,,,,
FIELD,,,reg029_f1,31,1,,,,
FIELD,,,reg029_f2,30,1,,,,
FIELD,,,reg029_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg030,0x000000f0,,,,,,,
FIELD,,,reg030_f1,[31:30],2'b0,RO,,,
FIELD,,,reg030_f2,29,1,RO,,,
FIELD,,,reg030_f3,28,1,RO,,,
FIELD,,,reg030_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg031,0x000000f8,,,,,,,
FIELD,,,reg031_f1,[31:28],4'b0,,,,
FIELD,,,reg031_f2,27,1'b0,,,,
FIELD,,,reg031_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg032,0x00000100,,,,,,,
FIELD,,,reg032_f1,[31:30],1'b1,RO,,,
FIELD,,,reg032_f2,[29:15],0,,,,
FIELD,,,reg032_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg033,0x00000108,,,,,,,
FIELD,,,reg033_f1,[31:16],1'b1,,,,
FIELD,,,reg033_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg034,0x00000110,,,,,,,
FIELD,,,reg034_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg035,0x00000118,,,,,,,
FIELD,,,reg035_f1,31,0,,,,
FIELD,,,reg035_f2,[28:26],2,,,,
FIELD,,,reg035_f3,[25:19],83,,,,
FIELD,,,reg035_f4,[18:6],3072,,,,
FIELD,,,reg035_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg036,0x00000120,,,,,,,
FIELD,,,reg036_f1,31,0,,,,
FIELD,,,reg036_f2,30,1,,,,
FIELD,,,reg036_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg037,0x00000128,,,,,,,
FIELD,,,reg037_f1,[31:24],0,WO,,,
FIELD,,,reg037_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg038,0x00000130,,,,,,,
FIELD,,,reg038_f1,[31:22],0,,,,
FIELD,,,reg038_f2,[21:12],0,,,,
FIELD,,,reg038_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg039,0x00000138,,,,,,,
FIELD,,,reg039_f1,31,1,,,,
FIELD,,,reg039_f2,30,1,,,,
FIELD,,,reg039_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg040,0x00000140,,,,,,,
FIELD,,,reg040_f1,[31:30],2'b0,RO,,,
FIELD,,,reg040_f2,29,1,RO,,,
FIELD,,,reg040_f3,28,1,RO,,,
FIELD,,,reg040_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg041,0x00000148,,,,,,,
FIELD,,,reg041_f1,[31:28],4'b0,,,,
FIELD,,,reg041_f2,27,1'b0,,,,
FIELD,,,reg041_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg042,0x00000150,,,,,,,
FIELD,,,reg042_f1,[31:30],1'b1,RO,,,
FIELD,,,reg042_f2,[29:15],0,,,,
FIELD,,,reg042_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg043,0x00000158,,,,,,,
FIELD,,,reg043_f1,[31:16],1'b1,,,,
FIELD,,,reg043_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg044,0x00000160,,,,,,,
FIELD,,,reg044_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg045,0x00000168,,,,,,,
FIELD,,,reg045_f1,31,0,,,,
FIELD,,,reg045_f2,[28:26],2,,,,
FIELD,,,reg045_f3,[25:19],83,,,,
FIELD,,,reg045_f4,[18:6],3072,,,,
FIELD,,,reg045_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg046,0x00000170,,,,,,,
FIELD,,,reg046_f1,31,0,,,,
FIELD,,,reg046_f2,30,1,,,,
FIELD,,,reg046_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg047,0x00000178,,,,,,,
FIELD,,,reg047_f1,[31:24],0,WO,,,
FIELD,,,reg047_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg048,0x00000180,,,,,,,
FIELD,,,reg048_f1,[31:22],0,,,,
FIELD,,,reg048_f2,[21:12],0,,,,
FIELD,,,reg048_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg049,0x00000188,,,,,,,
FIELD,,,reg049_f1,31,1,,,,
FIELD,,,reg049_f2,30,1,,,,
FIELD,,,reg049_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg050,0x00000190,,,,,,,
FIELD,,,reg050_f1,[31:30],2'b0,RO,,,
FIELD,,,reg050_f2,29,1,RO,,,
FIELD,,,reg050_f3,28,1,RO,,,
FIELD,,,reg050_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg051,0x00000198,,,,,,,
FIELD,,,reg051_f1,[31:28],4'b0,,,,
FIELD,,,reg051_f2,27,1'b0,,,,
FIELD,,,reg051_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg052,0x000001a0,,,,,,,
FIELD,,,reg052_f1,[31:30],1'b1,RO,,,
FIELD,,,reg052_f2,[29:15],0,,,,
FIELD,,,reg052_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg053,0x000001a8,,,,,,,
FIELD,,,reg053_f1,[31:16],1'b1,,,,
FIELD,,,reg053_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg054,0x000001b0,,,,,,,
FIELD,,,reg054_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg055,0x000001b8,,,,,,,
FIELD,,,reg055_f1,31,0,,,,
FIELD,,,reg055_f2,[28:26],2,,,,
FIELD,,,reg055_f3,[25:19],83,,,,
FIELD,,,reg055_f4,[18:6],3072,,,,
FIELD,,,reg055_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg056,0x000001c0,,,,,,,
FIELD,,,reg056_f1,31,0,,,,
FIELD,,,reg056_f2,30,1,,,,
FIELD,,,reg056_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg057,0x000001c8,,,,,,,
FIELD,,,reg057_f1,[31:24],0,WO,,,
FIELD,,,reg057_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg058,0x000001d0,,,,,,,
FIELD,,,reg058_f1,[31:22],0,,,,
FIELD,,,reg058_f2,[21:12],0,,,,
FIELD,,,reg058_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg059,0x000001d8,,,,,,,
FIELD,,,reg059_f1,31,1,,,,
FIELD,,,reg059_f2,30,1,,,,
FIELD,,,reg059_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg060,0x000001e0,,,,,,,
FIELD,,,reg060_f1,[31:30],2'b0,RO,,,
FIELD,,,reg060_f2,29,1,RO,,,
FIELD,,,reg060_f3,28,1,RO,,,
FIELD,,,reg060_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg061,0x000001e8,,,,,,,
FIELD,,,reg061_f1,[31:28],4'b0,,,,
FIELD,,,reg061_f2,27,1'b0,,,,
FIELD,,,reg061_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg062,0x000001f0,,,,,,,
FIELD,,,reg062_f1,[31:30],1'b1,RO,,,
FIELD,,,reg062_f2,[29:15],0,,,,
FIELD,,,reg062_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg063,0x000001f8,,,,,,,
FIELD,,,reg063_f1,[31:16],1'b1,,,,
FIELD,,,reg063_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg064,0x00000200,,,,,,,
FIELD,,,reg064_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg065,0x00000208,,,,,,,
FIELD,,,reg065_f1,31,0,,,,
FIELD,,,reg065_f2,[28:26],2,,,,
FIELD,,,reg065_f3,[25:19],83,,,,
FIELD,,,reg065_f4,[18:6],3072,,,,
FIELD,,,reg065_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg066,0x00000210,,,,,,,
FIELD,,,reg066_f1,31,0,,,,
FIELD,,,reg066_f2,30,1,,,,
FIELD,,,reg066_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg067,0x00000218,,,,,,,
FIELD,,,reg067_f1,[31:24],0,WO,,,
FIELD,,,reg067_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg068,0x00000220,,,,,,,
FIELD,,,reg068_f1,[31:22],0,,,,
FIELD,,,reg068_f2,[21:12],0,,,,
FIELD,,,reg068_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg069,0x00000228,,,,,,,
FIELD,,,reg069_f1,31,1,,,,
FIELD,,,reg069_f2,30,1,,,,
FIELD,,,reg069_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg070,0x00000230,,,,,,,
FIELD,,,reg070_f1,[31:30],2'b0,RO,,,
FIELD,,,reg070_f2,29,1,RO,,,
FIELD,,,reg070_f3,28,1,RO,,,
FIELD,,,reg070_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg071,0x00000238,,,,,,,
FIELD,,,reg071_f1,[31:28],4'b0,,,,
FIELD,,,reg071_f2,27,1'b0,,,,
FIELD,,,reg071_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg072,0x00000240,,,,,,,
FIELD,,,reg072_f1,[31:30],1'b1,RO,,,
FIELD,,,reg072_f2,[29:15],0,,,,
FIELD,,,reg072_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg073,0x00000248,,,,,,,
FIELD,,,reg073_f1,[31:16],1'b1,,,,
FIELD,,,reg073_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg074,0x00000250,,,,,,,
FIELD,,,reg074_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg075,0x00000258,,,,,,,
FIELD,,,reg075_f1,31,0,,,,
FIELD,,,reg075_f2,[28:26],2,,,,
FIELD,,,reg075_f3,[25:19],83,,,,
FIELD,,,reg075_f4,[18:6],3072,,,,
FIELD,,,reg075_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg076,0x00000260,,,,,,,
FIELD,,,reg076_f1,31,0,,,,
FIELD,,,reg076_f2,30,1,,,,
FIELD,,,reg076_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg077,0x00000268,,,,,,,
FIELD,,,reg077_f1,[31:24],0,WO,,,
FIELD,,,reg077_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg078,0x00000270,,,,,,,
FIELD,,,reg078_f1,[31:22],0,,,,
FIELD,,,reg078_f2,[21:12],0,,,,
FIELD,,,reg078_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg079,0x00000278,,,,,,,
FIELD,,,reg079_f1,31,1,,,,
FIELD,,,reg079_f2,30,1,,,,
FIELD,,,reg079_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg080,0x00000280,,,,,,,
FIELD,,,reg080_f1,[31:30],2'b0,RO,,,
FIELD,,,reg080_f2,29,1,RO,,,
FIELD,,,reg080_f3,28,1,RO,,,
FIELD,,,reg080_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg081,0x00000288,,,,,,,
FIELD,,,reg081_f1,[31:28],4'b0,,,,
FIELD,,,reg081_f2,27,1'b0,,,,
FIELD,,,reg081_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg082,0x00000290,,,,,,,
FIELD,,,reg082_f1,[31:30],1'b1,RO,,,
FIELD,,,reg082_f2,[29:15],0,,,,
FIELD,,,reg082_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg083,0x00000298,,,,,,,
FIELD,,,reg083_f1,[31:16],1'b1,,,,
FIELD,,,reg083_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg084,0x000002a0,,,,,,,
FIELD,,,reg084_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg085,0x000002a8,,,,,,,
FIELD,,,reg085_f1,31,0,,,,
FIELD,,,reg085_f2,[28:26],2,,,,
FIELD,,,reg085_f3,[25:19],83,,,,
FIELD,,,reg085_f4,[18:6],3072,,,,
FIELD,,,reg085_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg086,0x000002b0,,,,,,,
FIELD,,,reg086_f1,31,0,,,,
FIELD,,,reg086_f2,30,1,,,,
FIELD,,,reg086_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg087,0x000002b8,,,,,,,
FIELD,,,reg087_f1,[31:24],0,WO,,,
FIELD,,,reg087_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg088,0x000002c0,,,,,,,
FIELD,,,reg088_f1,[31:22],0,,,,
FIELD,,,reg088_f2,[21:12],0,,,,
FIELD,,,reg088_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg089,0x000002c8,,,,,,,
FIELD,,,reg089_f1,31,1,,,,
FIELD,,,reg089_f2,30,1,,,,
FIELD,,,reg089_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg090,0x000002d0,,,,,,,
FIELD,,,reg090_f1,[31:30],2'b0,RO,,,
FIELD,,,reg090_f2,29,1,RO,,,
FIELD,,,reg090_f3,28,1,RO,,,
FIELD,,,reg090_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg091,0x000002d8,,,,,,,
FIELD,,,reg091_f1,[31:28],4'b0,,,,
FIELD,,,reg091_f2,27,1'b0,,,,
FIELD,,,reg091_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg092,0x000002e0,,,,,,,
FIELD,,,reg092_f1,[31:30],1'b1,RO,,,
FIELD,,,reg092_f2,[29:15],0,,,,
FIELD,,,reg092_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg093,0x000002e8,,,,,,,
FIELD,,,reg093_f1,[31:16],1'b1,,,,
FIELD,,,reg093_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg094,0x000002f0,,,,,,,
FIELD,,,reg094_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg095,0x000002f8,,,,,,,
FIELD,,,reg095_f1,31,0,,,,
FIELD,,,reg095_f2,[28:26],2,,,,
FIELD,,,reg095_f3,[25:19],83,,,,
FIELD,,,reg095_f4,[18:6],3072,,,,
FIELD,,,reg095_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg096,0x00000300,,,,,,,
FIELD,,,reg096_f1,31,0,,,,
FIELD,,,reg096_f2,30,1,,,,
FIELD,,,reg096_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg097,0x00000308,,,,,,,
FIELD,,,reg097_f1,[31:24],0,WO,,,
FIELD,,,reg097_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg098,0x00000310,,,,,,,
FIELD,,,reg098_f1,[31:22],0,,,,
FIELD,,,reg098_f2,[21:12],0,,,,
FIELD,,,reg098_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg099,0x00000318,,,,,,,
FIELD,,,reg099_f1,31,1,,,,
FIELD,,,reg099_f2,30,1,,,,
FIELD,,,reg099_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg100,0x00000320,,,,,,,
FIELD,,,reg100_f1,[31:30],2'b0,RO,,,
FIELD,,,reg100_f2,29,1,RO,,,
FIELD,,,reg100_f3,28,1,RO,,,
FIELD,,,reg100_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg101,0x00000328,,,,,,,
FIELD,,,reg101_f1,[31:28],4'b0,,,,
FIELD,,,reg101_f2,27,1'b0,,,,
FIELD,,,reg101_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg102,0x00000330,,,,,,,
FIELD,,,reg102_f1,[31:30],1'b1,RO,,,
FIELD,,,reg102_f2,[29:15],0,,,,
FIELD,,,reg102_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg103,0x00000338,,,,,,,
FIELD,,,reg103_f1,[31:16],1'b1,,,,
FIELD,,,reg103_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg104,0x00000340,,,,,,,
FIELD,,,reg104_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg105,0x00000348,,,,,,,
FIELD,,,reg105_f1,31,0,,,,
FIELD,,,reg105_f2,[28:26],2,,,,
FIELD,,,reg105_f3,[25:19],83,,,,
FIELD,,,reg105_f4,[18:6],3072,,,,
FIELD,,,reg105_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg106,0x00000350,,,,,,,
FIELD,,,reg106_f1,31,0,,,,
FIELD,,,reg106_f2,30,1,,,,
FIELD,,,reg106_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg107,0x00000358,,,,,,,
FIELD,,,reg107_f1,[31:24],0,WO,,,
FIELD,,,reg107_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg108,0x00000360,,,,,,,
FIELD,,,reg108_f1,[31:22],0,,,,
FIELD,,,reg108_f2,[21:12],0,,,,
FIELD,,,reg108_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg109,0x00000368,,,,,,,
FIELD,,,reg109_f1,31,1,,,,
FIELD,,,reg109_f2,30,1,,,,
FIELD,,,reg109_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg110,0x00000370,,,,,,,
FIELD,,,reg110_f1,[31:30],2'b0,RO,,,
FIELD,,,reg110_f2,29,1,RO,,,
FIELD,,,reg110_f3,28,1,RO,,,
FIELD,,,reg110_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg111,0x00000378,,,,,,,
FIELD,,,reg111_f1,[31:28],4'b0,,,,
FIELD,,,reg111_f2,27,1'b0,,,,
FIELD,,,reg111_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg112,0x00000380,,,,,,,
FIELD,,,reg112_f1,[31:30],1'b1,RO,,,
FIELD,,,reg112_f2,[29:15],0,,,,
FIELD,,,reg112_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg113,0x00000388,,,,,,,
FIELD,,,reg113_f1,[31:16],1'b1,,,,
FIELD,,,reg113_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg114,0x00000390,,,,,,,
FIELD,,,reg114_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg115,0x00000398,,,,,,,
FIELD,,,reg115_f1,31,0,,,,
FIELD,,,reg115_f2,[28:26],2,,,,
FIELD,,,reg115_f3,[25:19],83,,,,
FIELD,,,reg115_f4,[18:6],3072,,,,
FIELD,,,reg115_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg116,0x000003a0,,,,,,,
FIELD,,,reg116_f1,31,0,,,,
FIELD,,,reg116_f2,30,1,,,,
FIELD,,,reg116_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg117,0x000003a8,,,,,,,
FIELD,,,reg117_f1,[31:24],0,WO,,,
FIELD,,,reg117_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg118,0x000003b0,,,,,,,
FIELD,,,reg118_f1,[31:22],0,,,,
FIELD,,,reg118_f2,[21:12],0,,,,
FIELD,,,reg118_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg119,0x000003b8,,,,,,,
FIELD,,,reg119_f1,31,1,,,,
FIELD,,,reg119_f2,30,1,,,,
FIELD,,,reg119_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg120,0x000003c0,,,,,,,
FIELD,,,reg120_f1,[31:30],2'b0,RO,,,
FIELD,,,reg120_f2,29,1,RO,,,
FIELD,,,reg120_f3,28,1,RO,,,
FIELD,,,reg120_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg121,0x000003c8,,,,,,,
FIELD,,,reg121_f1,[31:28],4'b0,,,,
FIELD,,,reg121_f2,27,1'b0,,,,
FIELD,,,reg121_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg122,0x000003d0,,,,,,,
FIELD,,,reg122_f1,[31:30],1'b1,RO,,,
FIELD,,,reg122_f2,[29:15],0,,,,
FIELD,,,reg122_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg123,0x000003d8,,,,,,,
FIELD,,,reg123_f1,[31:16],1'b1,,,,
FIELD,,,reg123_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg124,0x000003e0,,,,,,,
FIELD,,,reg124_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg125,0x000003e8,,,,,,,
FIELD,,,reg125_f1,31,0,,,,
FIELD,,,reg125_f2,[28:26],2,,,,
FIELD,,,reg125_f3,[25:19],83,,,,
FIELD,,,reg125_f4,[18:6],3072,,,,
FIELD,,,reg125_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg126,0x000003f0,,,,,,,
FIELD,,,reg126_f1,31,0,,,,
FIELD,,,reg126_f2,30,1,,,,
FIELD,,,reg126_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg127,0x000003f8,,,,,,,
FIELD,,,reg127_f1,[31:24],0,WO,,,
FIELD,,,reg127_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg128,0x00000400,,,,,,,
FIELD,,,reg128_f1,[31:22],0,,,,
